date,min,max,pm25,q1,q3,stdev,count
2020-04-04T00:00:00.000Z,0.61,8.56,2.25,1.32,3.96,1.95,540
2020-04-05T00:00:00.000Z,0.88,19.14,2.38,1.56,10.06,5.059,549
2020-04-06T00:00:00.000Z,2.42,8.77,4.65,3.73,6.48,1.549,520
2020-04-07T00:00:00.000Z,0.74,13.52,1.82,1.4,6.95,3.423,463
2020-04-08T00:00:00.000Z,0.56,3.72,1.7,1.36,2.35,0.642,485
2020-04-09T00:00:00.000Z,0.41,7.9,1.28,1,3.1,1.617,481
2020-04-10T00:00:00.000Z,0.45,9.24,1.91,1.44,2.91,1.28,533
2020-04-11T00:00:00.000Z,2.48,5.26,3.53,2.96,4.38,0.796,157
2020-04-12T00:00:00.000Z,0.53,6.82,2.82,1.36,3.73,1.374,571
2020-04-13T00:00:00.000Z,0.48,3.56,1.09,0.9,1.44,0.574,577
2020-04-14T00:00:00.000Z,0.38,3.2,1.13,0.9,1.52,0.537,550
2020-04-15T00:00:00.000Z,1.27,5.7,3.22,2.62,3.72,0.839,518
2020-04-16T00:00:00.000Z,0.48,4.03,1.75,1.08,2.36,0.688,498
2020-04-17T00:00:00.000Z,0.24,7.32,0.96,0.54,1.78,1.301,580
2020-04-18T00:00:00.000Z,0.34,2.34,1.08,0.7,1.31,0.387,584
2020-04-19T00:00:00.000Z,0.25,2.04,0.9,0.55,1.25,0.418,570
2020-04-20T00:00:00.000Z,0.2,9.61,1.14,0.62,1.85,1.536,516
2020-04-21T00:00:00.000Z,0.21,2.62,0.86,0.47,1.75,0.663,385
2020-04-22T00:00:00.000Z,0.1,4,1.02,0.5,1.45,0.764,421
2020-04-23T00:00:00.000Z,0.38,13.25,1.69,1.06,3.63,2.252,476
2020-04-24T00:00:00.000Z,0.69,9.11,2.5,1.85,3.19,1.471,544
2020-04-25T00:00:00.000Z,0.2,1.95,0.92,0.55,1.14,0.378,508
2020-04-26T00:00:00.000Z,0.68,4.09,1.36,1.14,1.7,0.653,558
2020-04-27T00:00:00.000Z,1.28,6.84,3.14,2.16,3.82,1.119,526
2020-04-28T00:00:00.000Z,0.25,3.42,1.18,0.59,2.24,0.86,404
2020-04-29T00:00:00.000Z,0.85,2.5,1.27,1.1,1.48,0.283,512
2020-04-30T00:00:00.000Z,0.88,43.21,4.01,2.04,7.22,4.275,542
2020-05-01T00:00:00.000Z,0.51,11.58,2.33,1.13,7.47,3.285,553
2020-05-02T00:00:00.000Z,0.22,13.02,3.01,0.92,6.06,3.623,549
2020-05-03T00:00:00.000Z,0.63,13.48,1.52,1.13,3.9,2.551,577
2020-05-04T00:00:00.000Z,0.26,2.8,0.96,0.7,1.85,0.66,536
2020-05-05T00:00:00.000Z,0.3,1.64,0.86,0.66,1.03,0.265,495
2020-05-06T00:00:00.000Z,0.74,2.84,1.39,1.15,1.84,0.483,595
2020-05-07T00:00:00.000Z,0.92,5.66,3.08,2.54,3.7,0.883,388
2020-05-08T00:00:00.000Z,1.62,6.24,3.46,2.57,4.58,1.16,354
2020-05-09T00:00:00.000Z,0.64,10.7,2.25,1.44,4.01,2.298,341
2020-05-10T00:00:00.000Z,0.81,18.13,11.16,4.97,13.6,4.501,245
2020-05-11T00:00:00.000Z,0.3,1.18,0.68,0.56,0.83,0.188,352
2020-05-12T00:00:00.000Z,0.6,3.01,1.08,0.92,1.25,0.382,485
2020-05-13T00:00:00.000Z,0.24,1.21,0.74,0.48,0.86,0.234,479
2020-05-14T00:00:00.000Z,0.35,1.91,1.02,0.74,1.27,0.336,462
2020-05-15T00:00:00.000Z,0.66,3.34,1.4,1.14,1.66,0.395,534
2020-05-16T00:00:00.000Z,0.88,3.06,1.64,1.36,2.13,0.499,336
2020-05-17T00:00:00.000Z,0.64,3.4,1.38,1.14,1.84,0.556,545
2020-05-18T00:00:00.000Z,0.52,3.9,1.35,1.06,2.15,0.716,461
2020-05-19T00:00:00.000Z,0.32,6.74,1.1,0.75,3.08,1.667,545
2020-05-20T00:00:00.000Z,0.34,6.74,1.23,0.81,1.76,1.164,555
2020-05-21T00:00:00.000Z,0.3,5.9,1.6,1.09,2.62,1.25,513
2020-05-22T00:00:00.000Z,0.38,1.74,0.94,0.7,1.12,0.268,550
2020-05-23T00:00:00.000Z,1.25,999.9,4.7,3.74,7.45,69.366,517
2020-05-24T00:00:00.000Z,2.35,6.85,3.95,3.3,4.8,0.94,535
2020-05-25T00:00:00.000Z,0.9,10.18,3.67,2.08,5.9,2.142,542
2020-05-26T00:00:00.000Z,0.7,10.77,2.87,1.42,4.65,2.311,504
2020-05-27T00:00:00.000Z,1.3,21.65,4.15,3.11,6.07,3.761,524
2020-05-28T00:00:00.000Z,0.6,8.75,1.6,1.1,2.85,2.106,530
2020-05-29T00:00:00.000Z,1,27.58,1.98,1.6,2.87,4.382,544
2020-05-30T00:00:00.000Z,0.6,29.27,1.67,1.08,3.6,2.732,568
2020-05-31T00:00:00.000Z,0.3,7.47,0.7,0.5,1,0.712,487
2020-06-01T00:00:00.000Z,0.2,3.97,0.65,0.5,1.27,0.754,484
2020-06-02T00:00:00.000Z,0.3,7.85,1.12,0.8,2.29,1.16,538
2020-06-03T00:00:00.000Z,0.3,11.25,1.66,0.9,3.92,2.371,458
2020-06-04T00:00:00.000Z,0.56,6.18,2.1,1.42,3.41,1.221,536
